ID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,54,0.12,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,29,0.08,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,45,0.1,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,39,0.15,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,37,0.2,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,46,0.09,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,38,0.11,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,32,0.11,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,32,0.11,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,40,0.09,1.0,0.14
HS6443070,"McNair, Ronald E. HS",35,0.1,0.0,0.02
HS6442055,Druid Hills HS,33,0.08,0.0,0.8
1322052,Decatur city,32,0.08,0.0,1.0
1325720,East Point city,29,0.1,0.0,0.25
HS6331054,Campbell HS,39,0.08,0.0,0.59
1310944,Brookhaven city,48,0.09,0.0,0.14
HS6440172,Cedar Grove HS,31,0.09,0.0,0.0
HS6443060,Lakeside HS,38,0.09,0.0,0.05
1315172,Chamblee city,34,0.09,0.0,0.26
1368516,Sandy Springs city,24,0.11,0.0,0.02
HS6331069,Wheeler HS,31,0.09,0.0,0.36
HS6334066,Pebblebrook HS,29,0.08,0.0,0.05
1317776,College Park city,17,0.12,0.0,0.46
HS6312052,North Clayton HS,44,0.09,0.0,0.02
HS6310115,Drew HS,34,0.07,0.0,0.0
HS6311054,Forest Park HS,35,0.1,0.0,0.0
HS6314058,Morrow HS,37,0.09,0.0,0.0
HS6442054,Columbia HS,38,0.09,0.0,0.0
