Centroid,Population,Avg Endowment,In Beltline,Amt Density
RDA/Lee/Cascade/Enota Park,9,0.52,1.0,0.46
Heritage Communities of South Atlanta,5,0.71,1.0,0.0
Boulevard/McDonough/Boulevard Crossing,7,0.75,1.0,0.74
Memorial/Glenwood/Grant Park,6,1.06,1.0,0.0
Freedom Parkway/Fourth Ward Park,14,1.22,1.0,0.65
Virginia-Highland/Ansley/Piedmont Park,5,0.49,1.0,0.33
Peachtree/Collier/Tanyard Creek,13,0.51,1.0,0.62
Howell/Northside/Water Works,6,0.4,1.0,0.34
West Marietta/Howell/Westside Park,5,1.05,1.0,0.13
Hollowell/Boone/Maddox Park,5,0.57,1.0,0.14
"McNair, Ronald E. HS",11,0.6,0.0,0.02
Druid Hills HS,13,0.48,0.0,0.8
Decatur city,5,0.91,0.0,1.0
East Point city,13,0.58,0.0,0.25
Campbell HS,11,0.47,0.0,0.59
Brookhaven city,8,0.61,0.0,0.14
Cedar Grove HS,14,0.61,0.0,0.0
