Centroid,Population,Avg Endowment,In Beltline,Amt Density
RDA/Lee/Cascade/Enota Park,12,0.6,1.0,0.46
Heritage Communities of South Atlanta,12,0.45,1.0,0.0
Boulevard/McDonough/Boulevard Crossing,7,0.48,1.0,0.74
Memorial/Glenwood/Grant Park,12,0.78,1.0,0.0
Freedom Parkway/Fourth Ward Park,9,0.44,1.0,0.65
Virginia-Highland/Ansley/Piedmont Park,7,0.61,1.0,0.33
Peachtree/Collier/Tanyard Creek,16,0.56,1.0,0.62
Howell/Northside/Water Works,7,0.64,1.0,0.34
West Marietta/Howell/Westside Park,6,0.47,1.0,0.13
Hollowell/Boone/Maddox Park,10,0.67,1.0,0.14
"McNair, Ronald E. HS",6,0.97,0.0,0.02
Druid Hills HS,4,0.6,0.0,0.8
Decatur city,9,0.46,0.0,1.0
East Point city,6,1.89,0.0,0.25
Campbell HS,9,0.66,0.0,0.59
Brookhaven city,6,0.69,0.0,0.14
Cedar Grove HS,12,0.81,0.0,0.0
