GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,7,0.52,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,10,0.56,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,7,0.6,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,5,0.51,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,11,0.75,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,11,1.26,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,10,0.52,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,7,0.88,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,11,0.62,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,7,0.56,1.0,0.14
HS6443070,"McNair, Ronald E. HS",5,0.51,0.0,0.02
HS6442055,Druid Hills HS,6,0.67,0.0,0.8
1322052,Decatur city,15,0.54,0.0,1.0
1325720,East Point city,8,0.6,0.0,0.25
HS6331054,Campbell HS,9,0.74,0.0,0.59
1310944,Brookhaven city,8,0.58,0.0,0.14
HS6440172,Cedar Grove HS,13,0.68,0.0,0.0
