Centroid,Population,Avg Endowment,In Beltline,Amt Density
RDA/Lee/Cascade/Enota Park,5,0.59,1.0,0.46
Heritage Communities of South Atlanta,9,0.57,1.0,0.0
Boulevard/McDonough/Boulevard Crossing,10,0.61,1.0,0.74
Memorial/Glenwood/Grant Park,12,0.74,1.0,0.0
Freedom Parkway/Fourth Ward Park,9,0.53,1.0,0.65
Virginia-Highland/Ansley/Piedmont Park,8,0.52,1.0,0.33
Peachtree/Collier/Tanyard Creek,12,0.72,1.0,0.62
Howell/Northside/Water Works,10,0.55,1.0,0.34
West Marietta/Howell/Westside Park,4,0.64,1.0,0.13
Hollowell/Boone/Maddox Park,4,0.41,1.0,0.14
"McNair, Ronald E. HS",16,0.56,0.0,0.02
Druid Hills HS,5,0.49,0.0,0.8
Decatur city,9,0.65,0.0,1.0
East Point city,9,0.44,0.0,0.25
Campbell HS,6,0.53,0.0,0.59
Brookhaven city,10,1.47,0.0,0.14
Cedar Grove HS,12,0.88,0.0,0.0
