Centroid,Population,Avg Endowment,In Beltline,Amt Density
RDA/Lee/Cascade/Enota Park,9,0.62,1.0,0.46
Heritage Communities of South Atlanta,15,1.11,1.0,0.0
Boulevard/McDonough/Boulevard Crossing,12,0.6,1.0,0.74
Memorial/Glenwood/Grant Park,8,0.69,1.0,0.0
Freedom Parkway/Fourth Ward Park,6,0.61,1.0,0.65
Virginia-Highland/Ansley/Piedmont Park,7,0.47,1.0,0.33
Peachtree/Collier/Tanyard Creek,8,0.53,1.0,0.62
Howell/Northside/Water Works,12,0.61,1.0,0.34
West Marietta/Howell/Westside Park,5,0.57,1.0,0.13
Hollowell/Boone/Maddox Park,7,0.41,1.0,0.14
"McNair, Ronald E. HS",6,0.95,0.0,0.02
Druid Hills HS,7,0.53,0.0,0.8
Decatur city,12,0.48,0.0,1.0
East Point city,13,0.8,0.0,0.25
Campbell HS,9,0.45,0.0,0.59
Brookhaven city,6,0.66,0.0,0.14
Cedar Grove HS,8,0.89,0.0,0.0
