GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,4,2.11,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,0,0.0,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,1,1.77,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,6,4.73,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,2,2.63,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,3,2.83,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,2,4.72,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,1,4.05,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,2,2.21,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,2,1.95,1.0,0.14
HS6443070,"McNair, Ronald E. HS",3,1.97,0.0,0.02
HS6442055,Druid Hills HS,2,3.57,0.0,0.8
1322052,Decatur city,2,2.48,0.0,1.0
1325720,East Point city,1,1.58,0.0,0.25
HS6331054,Campbell HS,0,0.0,0.0,0.59
1310944,Brookhaven city,2,1.8,0.0,0.14
HS6440172,Cedar Grove HS,1,2.65,0.0,0.0
