GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,4,0.72,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,11,0.58,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,10,0.6,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,8,0.77,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,9,0.62,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,7,0.4,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,9,0.85,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,8,0.6,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,8,0.47,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,10,0.51,1.0,0.14
HS6443070,"McNair, Ronald E. HS",12,0.6,0.0,0.02
HS6442055,Druid Hills HS,10,0.61,0.0,0.8
1322052,Decatur city,7,0.62,0.0,1.0
1325720,East Point city,5,0.66,0.0,0.25
HS6331054,Campbell HS,6,0.69,0.0,0.59
1310944,Brookhaven city,14,0.59,0.0,0.14
HS6440172,Cedar Grove HS,12,1.3,0.0,0.0
