GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,8,0.49,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,16,0.48,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,9,0.41,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,7,0.61,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,11,0.39,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,22,0.42,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,12,0.61,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,12,0.48,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,16,0.41,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,9,1.06,1.0,0.14
HS6443070,"McNair, Ronald E. HS",12,0.52,0.0,0.02
HS6442055,Druid Hills HS,14,0.6,0.0,0.8
1322052,Decatur city,9,0.42,0.0,1.0
1325720,East Point city,12,0.42,0.0,0.25
HS6331054,Campbell HS,12,0.47,0.0,0.59
1310944,Brookhaven city,11,0.45,0.0,0.14
HS6440172,Cedar Grove HS,8,0.47,0.0,0.0
