GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,11,0.5,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,9,0.48,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,12,0.4,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,15,0.53,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,18,0.44,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,5,0.72,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,12,0.36,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,15,0.45,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,12,0.5,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,9,0.73,1.0,0.14
HS6443070,"McNair, Ronald E. HS",9,0.38,0.0,0.02
HS6442055,Druid Hills HS,13,0.56,0.0,0.8
1322052,Decatur city,6,0.34,0.0,1.0
1325720,East Point city,11,0.54,0.0,0.25
HS6331054,Campbell HS,17,0.81,0.0,0.59
1310944,Brookhaven city,14,0.41,0.0,0.14
HS6440172,Cedar Grove HS,12,0.34,0.0,0.0
