GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,13,0.71,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,12,1.21,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,12,0.68,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,9,0.5,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,2,0.44,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,4,0.48,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,6,0.67,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,10,0.7,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,13,0.5,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,10,0.49,1.0,0.14
HS6443070,"McNair, Ronald E. HS",9,0.62,0.0,0.02
HS6442055,Druid Hills HS,4,0.5,0.0,0.8
1322052,Decatur city,12,0.57,0.0,1.0
1325720,East Point city,9,0.94,0.0,0.25
HS6331054,Campbell HS,5,0.8,0.0,0.59
1310944,Brookhaven city,11,0.63,0.0,0.14
HS6440172,Cedar Grove HS,9,0.48,0.0,0.0
