GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,10,1.51,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,6,0.41,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,15,0.54,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,9,0.7,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,12,0.68,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,3,0.4,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,6,0.5,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,6,0.56,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,8,0.45,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,9,0.78,1.0,0.14
HS6443070,"McNair, Ronald E. HS",14,0.79,0.0,0.02
HS6442055,Druid Hills HS,13,0.5,0.0,0.8
1322052,Decatur city,7,0.67,0.0,1.0
1325720,East Point city,10,0.67,0.0,0.25
HS6331054,Campbell HS,8,0.51,0.0,0.59
1310944,Brookhaven city,7,0.71,0.0,0.14
HS6440172,Cedar Grove HS,7,0.51,0.0,0.0
