GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,1,5.51,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,0,0.0,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,0,0.0,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,1,9.58,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,1,5.17,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,1,7.12,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,0,0.0,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,1,12.49,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,1,6.43,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,0,0.0,1.0,0.14
HS6443070,"McNair, Ronald E. HS",0,0.0,0.0,0.02
HS6442055,Druid Hills HS,0,0.0,0.0,0.8
1322052,Decatur city,0,0.0,0.0,1.0
1325720,East Point city,0,0.0,0.0,0.25
HS6331054,Campbell HS,0,0.0,0.0,0.59
1310944,Brookhaven city,0,0.0,0.0,0.14
HS6440172,Cedar Grove HS,0,0.0,0.0,0.0
HS6443060,Lakeside HS,0,0.0,0.0,0.05
1315172,Chamblee city,0,0.0,0.0,0.26
1368516,Sandy Springs city,0,0.0,0.0,0.02
HS6331069,Wheeler HS,1,8.08,0.0,0.36
HS6334066,Pebblebrook HS,0,0.0,0.0,0.05
HS6605069,Westlake HS,0,0.0,0.0,0.0
1317776,College Park city,0,0.0,0.0,0.46
HS6312052,North Clayton HS,1,4.89,0.0,0.02
HS6310115,Drew HS,0,0.0,0.0,0.0
HS6311054,Forest Park HS,0,0.0,0.0,0.0
HS6314058,Morrow HS,2,5.29,0.0,0.0
HS6442054,Columbia HS,1,30.15,0.0,0.0
