GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,15,0.41,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,15,0.4,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,13,0.38,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,12,0.56,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,14,0.45,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,10,0.39,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,8,0.48,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,7,0.37,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,12,0.38,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,14,0.55,1.0,0.14
HS6443070,"McNair, Ronald E. HS",12,0.52,0.0,0.02
HS6442055,Druid Hills HS,16,0.45,0.0,0.8
1322052,Decatur city,12,1.06,0.0,1.0
1325720,East Point city,8,0.4,0.0,0.25
HS6331054,Campbell HS,14,0.55,0.0,0.59
1310944,Brookhaven city,12,0.6,0.0,0.14
HS6440172,Cedar Grove HS,6,0.5,0.0,0.0
