Centroid,Population,Avg Endowment,In Beltline,Amt Density
RDA/Lee/Cascade/Enota Park,7,1.54,1.0,0.46
Heritage Communities of South Atlanta,11,0.53,1.0,0.0
Boulevard/McDonough/Boulevard Crossing,10,0.43,1.0,0.74
Memorial/Glenwood/Grant Park,6,0.76,1.0,0.0
Freedom Parkway/Fourth Ward Park,9,0.88,1.0,0.65
Virginia-Highland/Ansley/Piedmont Park,6,0.54,1.0,0.33
Peachtree/Collier/Tanyard Creek,4,0.56,1.0,0.62
Howell/Northside/Water Works,15,0.55,1.0,0.34
West Marietta/Howell/Westside Park,9,0.6,1.0,0.13
Hollowell/Boone/Maddox Park,10,0.91,1.0,0.14
"McNair, Ronald E. HS",11,0.52,0.0,0.02
Druid Hills HS,11,0.7,0.0,0.8
Decatur city,6,0.44,0.0,1.0
East Point city,5,0.7,0.0,0.25
Campbell HS,12,0.65,0.0,0.59
Brookhaven city,11,0.71,0.0,0.14
Cedar Grove HS,7,0.43,0.0,0.0
