GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,6,0.58,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,6,0.74,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,8,0.53,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,8,1.75,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,8,0.8,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,10,0.62,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,16,0.59,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,4,0.42,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,13,0.78,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,8,0.44,1.0,0.14
HS6443070,"McNair, Ronald E. HS",15,0.43,0.0,0.02
HS6442055,Druid Hills HS,7,0.89,0.0,0.8
1322052,Decatur city,2,0.69,0.0,1.0
1325720,East Point city,8,0.56,0.0,0.25
HS6331054,Campbell HS,6,0.51,0.0,0.59
1310944,Brookhaven city,12,0.61,0.0,0.14
HS6440172,Cedar Grove HS,13,0.59,0.0,0.0
