GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,5,0.59,1.0,0.46
BELTLINE02,Heritage Communities of South Atlanta,9,0.57,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,10,0.61,1.0,0.74
BELTLINE04,Memorial/Glenwood/Grant Park,12,0.74,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,9,0.53,1.0,0.65
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,8,0.52,1.0,0.33
BELTLINE07,Peachtree/Collier/Tanyard Creek,12,0.72,1.0,0.62
BELTLINE08,Howell/Northside/Water Works,10,0.55,1.0,0.34
BELTLINE09,West Marietta/Howell/Westside Park,4,0.64,1.0,0.13
BELTLINE10,Hollowell/Boone/Maddox Park,4,0.41,1.0,0.14
HS6443070,"McNair, Ronald E. HS",16,0.56,0.0,0.02
HS6442055,Druid Hills HS,5,0.49,0.0,0.8
1322052,Decatur city,9,0.65,0.0,1.0
1325720,East Point city,9,0.44,0.0,0.25
HS6331054,Campbell HS,6,0.53,0.0,0.59
1310944,Brookhaven city,10,1.47,0.0,0.14
HS6440172,Cedar Grove HS,12,0.88,0.0,0.0
