GEOID,Centroid,Population,Avg Endowment,In Beltline,Amt Density
BELTLINE01,RDA/Lee/Cascade/Enota Park,9,0.58,1.0,0.58
BELTLINE02,Heritage Communities of South Atlanta,9,0.58,1.0,0.0
BELTLINE03,Boulevard/McDonough/Boulevard Crossing,6,0.76,1.0,0.93
BELTLINE04,Memorial/Glenwood/Grant Park,9,0.51,1.0,0.0
BELTLINE05,Freedom Parkway/Fourth Ward Park,15,1.12,1.0,0.81
BELTLINE06,Virginia-Highland/Ansley/Piedmont Park,10,0.67,1.0,0.41
BELTLINE07,Peachtree/Collier/Tanyard Creek,5,0.72,1.0,0.77
BELTLINE08,Howell/Northside/Water Works,10,0.59,1.0,0.42
BELTLINE09,West Marietta/Howell/Westside Park,8,0.65,1.0,0.17
BELTLINE10,Hollowell/Boone/Maddox Park,10,0.64,1.0,0.17
HS6443070,"McNair, Ronald E. HS",11,0.52,0.0,0.02
HS6442055,Druid Hills HS,6,0.78,0.0,1.0
1322052,Decatur city,10,0.94,0.0,0.0
1325720,East Point city,3,0.64,0.0,0.32
HS6331054,Campbell HS,16,0.51,0.0,0.74
1310944,Brookhaven city,3,0.38,0.0,0.18
HS6440172,Cedar Grove HS,10,0.49,0.0,0.0
